episodeID, subjectID
EID338,"[17,52,57,59,60,66]"
EID339,"[8,14,15,28,38,39,49,50,59,60,62]"
EID340,"[15,21,22,52,56,59,60,66]"
EID341,"[9,15,17,25,27,33,42,56,59,60]"
EID342,"[9,14,15,16,38,39,44,56,59,60]"
EID343,"[9,15,17,22,26,52,56,59,60,66]"
EID344,"[4,14,27,32,41,42,43,50,63]"
EID345,"[8,17,28,29,49,57,59,60]"
EID346,"[9,15,17,38,52,53,56,59,60,66]"
EID347,"[17,28,49,57,59,60]"
EID348,"[15,26,33,50,57,59,60]"
EID349,"[8,15,33,38,39,44,53,59,60]"
EID350,"[3,15,17,32,52,56,57,59,60,66]"
EID351,"[14,15,38,53,59,60]"
EID352,"[8,17,57,59,60]"
EID353,"[17,22,28,59]"
EID354,"[15,28,33,38,50,53,59,60]"
EID355,"[3,17,28,44,59,60]"
EID356,"[8,17,49,59,60,62]"
EID357,"[15,26,38,39,52,59,60,66]"
EID358,"[17,26,28,33,57,59,60]"
EID359,"[4,14,16,41,57,63]"
EID360,"[8,15,28,33,38,53,59,60]"
EID361,"[9,14,17,28,40,56,59,60]"
EID362,"[8,15,33,59,60]"
EID363,"[8,15,27,33,39,42,59,60]"
EID364,"[8,15,27,28,33,38,39,52,53,54,59,60,66]"
EID365,"[17,28,38,39,44,57,59,60]"
EID366,"[3,17,28,44,56,59]"
EID367,"[14,15,16,33,38,39,49,53,59,60,62]"
EID368,"[17,28,49,59,60]"
EID369,"[8,9,15,17,33,38,39,56,59,60]"
EID370,"[4,14,28,41,43,50,63]"
EID371,"[25,29]"
EID372,"[8,9,14,15,38,52,53,56,59,60,66]"
EID373,"[2,9,15,33,40,52,59,60,66]"
EID374,"[8,15,33,38,39,53,59,60]"
EID375,"[8,17,28,49,59,62]"
EID376,"[17,27,28,33,38,53,59,67]"
EID377,"[9,14,15,33,56,59,60]"
EID378,"[8,17,44,59,60]"
EID379,"[15,17,33,59,60]"
EID380,"[14,15,16,32,33,38,59,60]"
EID381,"[15,17,27,52,59,60,65,66]"
EID382,"[9,14,15,16,28,33,56,59,60]"
EID383,"[12,14,15,17,29,38,39,49,53,55,59,60]"
EID384,"[4,14,41,50,63]"
EID385,"[8,15,33,38,39,53,59,60]"
EID386,"[9,15,17,28,44,57,59,60]"
EID387,"[8,15,38,49,50,59,60,62]"
EID388,"[15,33,38,39,59,60]"
EID389,"[8,9,14,15,49,56,59,60]"
EID390,"[14,15,28,49,50,59,60]"
EID391,"[17,28,33,50,59,60]"
EID392,"[9,15,27,42,49,52,59,60,66]"
EID393,"[8,15,28,38,39,49,59,60]"
EID394,"[6,17,33,44,56,59,60]"
EID395,"[14,17,44,59,60]"
EID396,"[15,28,38,39,50,53,59,60]"
EID397,"[4,27,41,43,50,51,63]"
EID398,"[14,15,17,28,29,33,38,39,53,55,59,60]"
EID399,"[3,15,17,26,44,52,56,59,60,66]"
EID400,"[17,28,38,59,60]"
